time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,1.176502,0.196084,-9.771505,-0.011345,0.029671,0.004363
0.02,1.07846,0.163403,-9.771505,-0.01309,0.022689,0.012217
0.04,1.143822,0.228764,-9.869547,0.000873,0.027053,0.011345
0.06,1.176502,0.196084,-9.771505,-0.015708,0.015708,0.007854
0.08,1.209183,0.163403,-9.771505,-0.018326,0.027925,0.014835
0.1,1.143822,0.261445,-9.804186,-0.018326,0.025307,0.022689
0.12,1.176502,0.163403,-9.771505,-0.005236,0.023562,0.003491
0.14,1.241864,0.098042,-9.771505,-0.019199,0.023562,-0.001745
0.16,1.176502,0.196084,-9.804186,-0.006109,0.015708,0.010472
0.18,1.209183,0.228764,-9.706144,-0.007854,0.020071,0.003491
0.2,1.111141,0.196084,-9.738825,-0.001745,0.019199,0.004363
0.22,1.111141,0.163403,-9.771505,0.006109,0.022689,0.000873
0.24,1.111141,0.130722,-9.738825,-0.006981,0.014835,0.000873
0.26,1.176502,0.163403,-9.738825,0.001745,0.018326,0.002618
0.28,1.143822,0.163403,-9.804186,-0.008727,0.027925,-0.000873
0.3,1.176502,0.163403,-9.771505,-0.032289,0.011345,0.01309
0.32,1.176502,0.196084,-9.836866,-0.016581,0.019199,0.019199
0.34,1.209183,0.098042,-9.738825,-0.017453,0.023562,0.016581
0.36,1.176502,0.196084,-9.771505,-0.033161,0.016581,0.01309
0.38,1.143822,0.196084,-9.771505,-0.016581,0.021817,0.004363
0.4,1.176502,0.261445,-9.771505,-0.006109,0.000873,0.016581
0.42,1.143822,0.163403,-9.771505,-0.019199,0.014835,0.011345
0.44,1.176502,0.228764,-9.771505,-0.023562,0.028798,0.000873
0.46,1.143822,0.196084,-9.738825,-0.009599,0.016581,0.004363
0.48,1.143822,0.196084,-9.836866,-0.01309,0.019199,0.015708
0.5,1.241864,0.196084,-9.836866,-0.000873,0.022689,0.000873
0.52,1.143822,0.163403,-9.836866,-0.018326,0.014835,0.008727
0.54,1.111141,0.196084,-9.706144,-0.017453,0.008727,0.007854
0.56,1.111141,0.228764,-9.836866,-0.015708,0.022689,0.010472
0.58,1.176502,0.228764,-9.738825,-0.007854,0.025307,-0.001745
0.6,1.143822,0.228764,-9.771505,0.003491,0.021817,-0.003491
0.62,1.209183,0.228764,-9.738825,0.002618,0.020944,0.008727
0.64,1.143822,0.228764,-9.673464,-0.010472,0.021817,0.005236
0.66,1.143822,0.196084,-9.771505,-0.015708,0.027053,-0.000873
0.68,1.111141,0.196084,-9.869547,-0.032289,0.014835,0.007854
0.7,1.209183,0.196084,-9.804186,-0.030543,0.020944,0.007854
0.72,1.111141,0.228764,-9.804186,-0.043633,0.014835,0.009599
0.74,1.111141,0.294126,-9.771505,-0.027053,0.019199,0.006981
0.76,1.209183,0.196084,-9.771505,-0.034907,0.02618,0.010472
0.78,1.176502,0.196084,-9.836866,-0.021817,-0.000873,0.012217
0.8,1.209183,0.228764,-9.738825,0.000873,0.006109,0.000873
0.82,1.209183,0.196084,-9.706144,-0.000873,0.023562,0.004363
0.84,1.209183,0.228764,-9.738825,-0.002618,0.012217,0.007854
0.86,1.176502,0.196084,-9.836866,-0.010472,0.013963,0.004363
0.88,1.176502,0.196084,-9.836866,-0.000873,0.010472,0.010472
0.9,1.143822,0.163403,-9.836866,0.000873,0.015708,-0.01309
0.92,1.143822,0.196084,-9.771505,-0.006981,0.027053,0.005236
0.94,1.111141,0.196084,-9.869547,-0.014835,0.017453,-0.003491
0.96,1.143822,0.196084,-9.804186,0.002618,0.014835,0.01309
0.98,1.143822,0.196084,-9.771505,-0.014835,0.019199,0.010472
1,1.176502,0.196084,-9.706144,-0.015708,0.02618,0.01309
1.02,1.143822,0.196084,-9.804186,-0.013963,0.012217,0.021817
1.04,1.143822,0.228764,-9.771505,-0.030543,0.020944,0.006109
1.06,1.209183,0.261445,-9.771505,-0.028798,0.011345,0.01309
1.08,1.143822,0.228764,-9.771505,-0.014835,0.012217,0.001745
1.1,1.143822,0.261445,-9.771505,-0.002618,0.023562,0.004363
1.12,1.176502,0.228764,-9.804186,0.003491,0.018326,0.006109
1.14,1.143822,0.130722,-9.771505,-0.01309,0.010472,0.003491
1.16,1.176502,0.196084,-9.804186,-0.000873,0.014835,0.007854
1.18,1.209183,0.163403,-9.738825,-0.012217,0.017453,0.001745
1.2,1.209183,0.228764,-9.804186,-0.014835,0.018326,0.001745
1.22,1.176502,0.163403,-9.771505,-0.029671,0.015708,0.006109
1.24,1.143822,0.098042,-9.836866,-0.03927,0.017453,0.006981
1.26,1.143822,0.196084,-9.738825,-0.042761,0.020071,0.009599
1.28,1.176502,0.163403,-9.738825,-0.029671,0.020071,0.008727
1.3,1.176502,0.163403,-9.804186,-0.020071,0.012217,0.01309
1.32,1.176502,0.163403,-9.836866,-0.015708,0.006109,0.003491
1.34,1.209183,0.163403,-9.738825,-0.003491,0.020071,0.010472
1.36,1.143822,0.261445,-9.869547,-0.012217,0.02618,0.005236
1.38,1.143822,0.196084,-9.804186,-0.008727,0.020071,0.013963
1.4,1.07846,0.163403,-9.804186,-0.019199,0.024435,0.006109
1.42,1.143822,0.163403,-9.771505,-0.024435,0.022689,0.006981
1.44,1.143822,0.130722,-9.804186,-0.02618,0.017453,0.008727
1.46,1.176502,0.130722,-9.869547,-0.03927,0.012217,-0.000873
1.48,1.111141,0.196084,-9.804186,-0.027053,0.013963,0.021817
1.5,1.176502,0.196084,-9.836866,-0.002618,0.016581,-0.004363
1.52,1.143822,0.163403,-9.738825,0,0.018326,0.000873
1.54,1.176502,0.228764,-9.836866,-0.002618,0.024435,-0.000873
1.56,1.176502,0.163403,-9.771505,-0.016581,0.019199,0.003491
1.58,1.176502,0.163403,-9.869547,-0.005236,0.011345,0.008727
1.6,1.274544,0.228764,-9.771505,-0.003491,0.024435,0.003491
1.62,1.111141,0.228764,-9.804186,-0.019199,0.022689,-0.006981
1.64,1.274544,0.261445,-9.771505,-0.022689,0.01309,0.004363
1.66,1.111141,0.130722,-9.804186,-0.027925,0.008727,0.006109
1.68,1.143822,0.163403,-9.771505,-0.034034,0.020071,0.005236
1.7,1.143822,0.196084,-9.869547,-0.042761,0.017453,0.003491
1.72,1.111141,0.163403,-9.869547,-0.020944,0.013963,0.01309
1.74,1.143822,0.196084,-9.804186,-0.009599,0.019199,0.011345
1.76,1.176502,0.261445,-9.771505,-0.008727,0.027053,0.003491
1.78,1.143822,0.228764,-9.804186,0.002618,0.027053,0.014835
1.8,1.176502,0.196084,-9.836866,-0.001745,0.009599,0.009599
1.82,1.176502,0.163403,-9.836866,0.002618,0.020071,0.000873
1.84,1.143822,0.196084,-9.836866,-0.013963,0.02618,0.002618
1.86,1.143822,0.163403,-9.771505,-0.021817,0.008727,0
1.88,1.111141,0.228764,-9.771505,-0.027053,0.007854,0.000873
1.9,1.176502,0.228764,-9.804186,-0.029671,0.025307,0.006981
1.92,1.111141,0.130722,-9.836866,-0.022689,0.022689,0
1.94,1.143822,0.196084,-9.771505,-0.015708,0.017453,0.012217
1.96,1.111141,0.196084,-9.771505,-0.000873,0.033161,0.006109
1.98,1.176502,0.196084,-9.804186,-0.011345,0.018326,0.011345
2,1.176502,0.228764,-9.804186,0,0.020071,0.002618
2.02,1.176502,0.196084,-9.804186,-0.006109,0.022689,0.006109
2.04,1.176502,0.163403,-9.869547,-0.015708,0.012217,0.006109
2.06,1.07846,0.196084,-9.771505,-0.030543,0.022689,0.010472
2.08,1.209183,0.228764,-9.771505,-0.03927,0.020071,0.003491
2.1,1.143822,0.228764,-9.771505,-0.045379,0.01309,0.000873
2.12,1.111141,0.196084,-9.771505,-0.033161,0.009599,0.01309
2.14,1.143822,0.294126,-9.869547,-0.020071,0.012217,0.018326
2.16,1.111141,0.261445,-9.706144,0.006981,0.020944,0.016581
2.18,1.143822,0.228764,-9.771505,0.006981,0.011345,0.007854
2.2,1.209183,0.228764,-9.738825,0.014835,0.020944,0.001745
2.22,1.209183,0.163403,-9.771505,-0.000873,0.023562,0.009599
2.24,1.176502,0.228764,-9.869547,-0.006109,0.008727,0.000873
2.26,1.176502,0.163403,-9.771505,-0.010472,0.013963,0.004363
2.28,1.111141,0.228764,-9.804186,-0.014835,0.005236,0.002618
2.3,1.143822,0.196084,-9.706144,-0.023562,0.016581,-0.005236
2.32,1.176502,0.196084,-9.804186,-0.020071,0.016581,0.002618
2.34,1.176502,0.261445,-9.706144,-0.020944,0.020944,0.003491
2.36,1.176502,0.163403,-9.869547,-0.023562,0.002618,0.007854
2.38,1.111141,0.163403,-9.804186,-0.012217,0.021817,-0.002618
2.4,1.143822,0.196084,-9.836866,-0.015708,0.005236,0.002618
2.42,1.176502,0.196084,-9.738825,-0.005236,0.023562,0.01309
2.44,1.143822,0.130722,-9.836866,-0.002618,0.025307,0.000873
2.46,1.176502,0.196084,-9.804186,-0.025307,0.017453,-0.001745
2.48,1.143822,0.163403,-9.771505,-0.032289,0.008727,-0.004363
2.5,1.176502,0.196084,-9.836866,-0.034034,0.009599,-0.001745
2.52,1.209183,0.196084,-9.836866,-0.027053,0.018326,-0.011345
2.54,1.143822,0.196084,-9.771505,-0.010472,0.025307,-0.005236
2.56,1.209183,0.228764,-9.771505,-0.016581,0.020944,0.001745
2.58,1.07846,0.163403,-9.771505,-0.021817,0.021817,0.001745
2.6,1.143822,0.228764,-9.804186,-0.020944,0.012217,0.009599
2.62,1.176502,0.261445,-9.804186,-0.003491,0.019199,0.014835
2.64,1.143822,0.261445,-9.771505,-0.003491,0.030543,0.003491
2.66,1.209183,0.228764,-9.738825,-0.017453,0.021817,0.006981
2.68,1.176502,0.163403,-9.836866,-0.019199,0.002618,0.003491
2.7,1.176502,0.228764,-9.804186,-0.010472,0.019199,-0.000873
2.72,1.111141,0.163403,-9.771505,-0.037525,0.011345,0
2.74,1.143822,0.130722,-9.804186,-0.020944,0.023562,0.008727
2.76,1.176502,0.196084,-9.804186,-0.027053,0.015708,0.012217
2.78,1.111141,0.326806,-9.804186,-0.017453,0.023562,0.016581
2.8,1.143822,0.261445,-9.804186,-0.018326,0.019199,0.007854
2.82,1.176502,0.294126,-9.771505,-0.01309,0.020944,0.002618
2.84,1.176502,0.130722,-9.836866,-0.011345,0.020944,0.006981
2.86,1.209183,0.261445,-9.738825,-0.003491,0.017453,0.011345
2.88,1.176502,0.163403,-9.804186,-0.021817,0.016581,-0.003491
2.9,1.176502,0.130722,-9.771505,-0.018326,0.019199,-0.006109
2.92,1.143822,0.163403,-9.771505,-0.007854,0.015708,0.005236
2.94,1.176502,0.098042,-9.804186,-0.009599,0.023562,0.020944
2.96,1.143822,0.228764,-9.804186,-0.016581,0.012217,0.005236
2.98,1.176502,0.294126,-9.836866,-0.020944,0.022689,0.01309
3,1.176502,0.163403,-9.771505,-0.001745,0.028798,0.014835
3.02,1.176502,0.294126,-9.869547,0.002618,0.019199,0.012217
3.04,1.111141,0.261445,-9.804186,-0.001745,0.029671,0.006981
3.06,1.176502,0.196084,-9.738825,-0.005236,0.013963,0
3.08,1.143822,0.163403,-9.836866,-0.001745,0.028798,0.005236
3.1,1.143822,0.130722,-9.771505,-0.014835,0.011345,0.006981
3.12,1.176502,0.196084,-9.804186,-0.025307,0.009599,0
3.14,1.176502,0.294126,-9.738825,-0.006109,0.018326,0.007854
3.16,1.143822,0.196084,-9.804186,-0.022689,0.032289,0.01309
3.18,1.176502,0.196084,-9.706144,-0.029671,0.017453,0.014835
3.2,1.176502,0.228764,-9.738825,-0.021817,0.027053,0.002618
3.22,1.143822,0.261445,-9.771505,-0.011345,0.012217,0.010472
3.24,1.111141,0.228764,-9.902227,0,0.020944,0.010472
3.26,1.143822,0.261445,-9.804186,0.006981,0.009599,-0.004363
3.28,1.143822,0.228764,-9.738825,0.003491,0.031416,0.006109
3.3,1.111141,0.163403,-9.771505,-0.006109,0.022689,0.004363
3.32,1.176502,0.261445,-9.804186,-0.007854,0.017453,0.000873
3.34,1.209183,0.196084,-9.836866,-0.020071,0.01309,0.003491
3.36,1.176502,0.163403,-9.771505,-0.022689,0.013963,0.004363
3.38,1.176502,0.196084,-9.771505,-0.037525,0.006109,0.006981
3.4,1.176502,0.196084,-9.836866,-0.023562,0.011345,0.01309
3.42,1.143822,0.261445,-9.869547,-0.016581,0.024435,0.01309
3.44,1.111141,0.196084,-9.771505,-0.022689,0.020944,0.012217
3.46,1.143822,0.228764,-9.771505,-0.003491,0.019199,0.011345
3.48,1.176502,0.228764,-9.771505,-0.014835,0.015708,0.008727
3.5,1.176502,0.196084,-9.771505,-0.004363,0.016581,0.005236
3.52,1.111141,0.163403,-9.771505,-0.022689,0.011345,0.005236
3.54,1.176502,0.196084,-9.738825,-0.013963,0.01309,-0.004363
3.56,1.176502,0.228764,-9.771505,-0.028798,0.020944,0.009599
3.58,1.143822,0.228764,-9.771505,-0.030543,0.019199,0.015708
3.6,1.176502,0.228764,-9.869547,-0.020944,0.016581,0.007854
3.62,1.176502,0.228764,-9.804186,-0.019199,0.011345,0.001745
3.64,1.111141,0.261445,-9.869547,-0.019199,0.021817,0.010472
3.66,1.143822,0.261445,-9.836866,-0.02618,0.020071,0.008727
3.68,1.176502,0.228764,-9.738825,-0.006981,0.016581,0.008727
3.7,1.143822,0.228764,-9.738825,-0.009599,0.023562,0.009599
3.72,1.209183,0.261445,-9.771505,-0.006109,0.01309,0.003491
3.74,1.209183,0.261445,-9.804186,0.000873,0.015708,0.001745
3.76,1.209183,0.196084,-9.804186,-0.001745,0.018326,0.007854
3.78,1.143822,0.228764,-9.771505,-0.011345,0.020071,0.000873
3.8,1.07846,0.196084,-9.771505,-0.000873,0.014835,0.004363
3.82,1.176502,0.130722,-9.836866,-0.018326,0.019199,0.004363
3.84,1.176502,0.196084,-9.738825,-0.021817,0.016581,0.013963
3.86,1.111141,0.228764,-9.771505,-0.014835,0.020944,0.012217
3.88,1.176502,0.196084,-9.804186,-0.015708,0.020944,0.009599
3.9,1.176502,0.294126,-9.804186,-0.02618,0.020944,-0.001745
3.92,1.209183,0.228764,-9.771505,-0.015708,0.018326,0.004363
3.94,1.209183,0.196084,-9.869547,-0.013963,0.021817,0.005236
3.96,1.143822,0.228764,-9.771505,-0.030543,0.017453,0.010472
3.98,1.209183,0.228764,-9.738825,-0.012217,0.016581,0.001745
4,1.176502,0.261445,-9.771505,-0.021817,0.009599,0.003491
4.02,1.241864,0.163403,-9.771505,-0.01309,0.010472,0.001745
4.04,1.111141,0.261445,-9.771505,-0.016581,0.023562,0.007854
4.06,1.176502,0.228764,-9.771505,-0.020944,0.030543,-0.002618
4.08,1.143822,0.261445,-9.771505,0,0.016581,0.006981
4.1,1.176502,0.196084,-9.771505,-0.014835,0.024435,0.01309
4.12,1.176502,0.261445,-9.804186,-0.017453,0.020071,-0.003491
4.14,1.209183,0.196084,-9.836866,-0.02618,0.01309,0.006981
4.16,1.176502,0.228764,-9.804186,-0.014835,0.020071,0.013963
4.18,1.209183,0.130722,-9.836866,-0.024435,0.023562,0.012217
4.2,1.176502,0.228764,-9.836866,-0.030543,0.023562,0.009599
4.22,1.176502,0.228764,-9.706144,-0.023562,0.031416,0.005236
4.24,1.176502,0.228764,-9.771505,-0.019199,0.017453,0.01309
4.26,1.143822,0.261445,-9.771505,-0.01309,0.020071,0.012217
4.28,1.209183,0.196084,-9.738825,-0.007854,0.022689,0.006981
4.3,1.209183,0.228764,-9.771505,0.003491,0.023562,0.002618
4.32,1.209183,0.163403,-9.804186,-0.007854,0.025307,0.005236
4.34,1.143822,0.196084,-9.804186,-0.025307,0.020944,0.012217
4.36,1.111141,0.196084,-9.771505,-0.016581,0.016581,-0.004363
4.38,1.209183,0.163403,-9.738825,-0.031416,0.021817,0.006981
4.4,1.143822,0.196084,-9.771505,-0.034034,0.011345,0.002618
4.42,1.176502,0.228764,-9.804186,-0.022689,0.013963,0.010472
4.44,1.176502,0.163403,-9.771505,-0.016581,0.029671,0.014835
4.46,1.209183,0.228764,-9.804186,-0.006981,0.006109,-0.002618
4.48,1.143822,0.228764,-9.836866,0,0.027053,0.021817
4.5,1.209183,0.294126,-9.771505,-0.010472,0.020944,0.016581
4.52,1.209183,0.261445,-9.836866,-0.000873,0.022689,0.002618
4.54,1.143822,0.163403,-9.869547,0,0.013963,0.01309
4.56,1.143822,0.196084,-9.771505,-0.010472,0.014835,0.004363
4.58,1.143822,0.163403,-9.738825,-0.012217,0.020944,0.006109
4.6,1.176502,0.261445,-9.738825,-0.022689,0.016581,0.009599
4.62,1.176502,0.228764,-9.836866,-0.018326,0.027053,0.018326
4.64,1.209183,0.163403,-9.804186,-0.022689,0.016581,0.010472
4.66,1.143822,0.228764,-9.738825,-0.012217,0.02618,0.005236
4.68,1.209183,0.261445,-9.738825,-0.009599,0.024435,0.012217
4.7,1.209183,0.294126,-9.771505,-0.008727,0.014835,0.008727
4.72,1.176502,0.163403,-9.771505,-0.007854,0.023562,0.018326
4.74,1.143822,0.228764,-9.771505,-0.007854,0.014835,0.01309
4.76,1.07846,0.228764,-9.771505,0.000873,0.020071,0.008727
4.78,1.176502,0.163403,-9.836866,-0.013963,0.018326,0.001745
4.8,1.176502,0.228764,-9.836866,-0.021817,0.021817,0.010472
4.82,1.241864,0.130722,-9.804186,-0.022689,0.020944,0.010472
4.84,1.176502,0.163403,-9.738825,-0.019199,0.019199,0.013963
4.86,1.176502,0.228764,-9.836866,-0.027053,0.024435,0.006981
4.88,1.07846,0.261445,-9.804186,-0.020071,0.01309,0.010472
4.9,1.143822,0.228764,-9.771505,-0.005236,0.01309,0.004363
4.92,1.209183,0.196084,-9.738825,-0.022689,0.011345,0.006981
4.94,1.143822,0.196084,-9.804186,-0.020071,0.027925,0.002618
4.96,1.176502,0.163403,-9.804186,0.005236,0.017453,0.002618
4.98,1.241864,0.228764,-9.706144,-0.010472,0.024435,0.009599
5,1.209183,0.228764,-9.738825,-0.019199,0.008727,0.014835
5.02,1.176502,0.163403,-9.804186,-0.021817,0.016581,0.003491
5.04,1.111141,0.228764,-9.804186,-0.031416,0.016581,0.008727
5.06,1.209183,0.196084,-9.738825,-0.03927,0.020944,-0.000873
5.08,1.143822,0.163403,-9.804186,-0.017453,0.027053,0.001745
5.1,1.176502,0.163403,-9.771505,-0.011345,0.023562,-0.001745
5.12,1.143822,0.130722,-9.869547,-0.003491,0.019199,0.008727
5.14,1.143822,0.196084,-9.804186,-0.004363,0.015708,0.006981
5.16,1.143822,0.228764,-9.771505,-0.011345,0.027053,-0.007854
5.18,1.176502,0.261445,-9.771505,-0.003491,0.021817,0.006981
5.2,1.209183,0.196084,-9.836866,-0.005236,0.015708,-0.005236
5.22,1.176502,0.196084,-9.869547,-0.018326,0.015708,0.004363
5.24,1.143822,0.130722,-9.738825,-0.014835,0.011345,-0.000873
5.26,1.111141,0.196084,-9.771505,-0.017453,0.007854,0.000873
5.28,1.111141,0.228764,-9.836866,-0.020944,0.018326,0.006109
5.3,1.176502,0.228764,-9.804186,-0.034034,0.027053,0.012217
5.32,1.176502,0.163403,-9.836866,-0.021817,0.020071,0.007854
5.34,1.307225,0.228764,-9.738825,-0.019199,0.019199,0.006109
5.36,1.143822,0.196084,-9.771505,-0.020071,0.020071,0.006981
5.38,1.209183,0.196084,-9.836866,-0.025307,0.011345,0.019199
5.4,1.176502,0.261445,-9.804186,-0.008727,0.009599,0.000873
5.42,1.143822,0.196084,-9.836866,-0.012217,0.027925,0.007854
5.44,1.143822,0.130722,-9.804186,-0.013963,0.021817,-0.006109
5.46,1.176502,0.261445,-9.804186,-0.010472,0.020071,0.005236
5.48,1.209183,0.196084,-9.771505,-0.012217,0.025307,0.013963
5.5,1.176502,0.130722,-9.771505,-0.011345,0.023562,0.01309
5.52,1.176502,0.130722,-9.804186,-0.012217,0.02618,0.003491
5.54,1.111141,0.196084,-9.738825,-0.006981,0.023562,0.009599
5.56,1.143822,0.163403,-9.771505,-0.007854,0.018326,0.007854
5.58,1.209183,0.261445,-9.771505,-0.006981,0.015708,0.004363
5.6,1.176502,0.261445,-9.836866,-0.027925,0.013963,0.020944
5.62,1.176502,0.228764,-9.804186,-0.021817,0.020071,-0.004363
5.64,1.111141,0.228764,-9.869547,-0.02618,0.023562,-0.001745
5.66,1.176502,0.163403,-9.804186,-0.018326,0.010472,-0.001745
5.68,1.143822,0.228764,-9.771505,-0.02618,0.017453,0.008727
5.7,1.176502,0.228764,-9.804186,-0.020944,0.024435,0.003491
5.72,1.176502,0.196084,-9.804186,-0.019199,0.017453,-0.006981
5.74,1.209183,0.130722,-9.706144,-0.037525,0.027053,0.012217
5.76,1.274544,0.196084,-9.804186,-0.011345,0.023562,0.018326
5.78,1.209183,0.261445,-9.771505,-0.018326,0.015708,0.013963
5.8,1.143822,0.261445,-9.771505,-0.002618,0.020071,0
