time,accel_x,accel_y,accel_z
0,1.862795,-0.392167,-9.673463
0.02,1.895476,-0.424848,-9.640783
0.04,1.895476,-0.359487,-9.706145
0.06,1.895476,-0.392167,-9.640783
0.08,1.895476,-0.392167,-9.640783
0.1,1.895476,-0.392167,-9.673463
0.12,1.862795,-0.392167,-9.673463
0.14,1.862795,-0.359487,-9.673463
0.16,1.928157,-0.424848,-9.673463
0.18,1.895476,-0.359487,-9.673463
0.2,1.895476,-0.392167,-9.738825
0.22,1.862795,-0.392167,-9.673463
0.24,1.895476,-0.392167,-9.673463
0.26,1.895476,-0.359487,-9.673463
0.28,1.862795,-0.359487,-9.640783
0.3,1.895476,-0.359487,-9.640783
0.32,1.928157,-0.392167,-9.673463
0.34,1.862795,-0.392167,-9.640783
0.36,1.862795,-0.392167,-9.673463
0.38,1.895476,-0.359487,-9.706145
0.4,1.895476,-0.424848,-9.673463
0.42,1.895476,-0.424848,-9.640783
0.44,1.895476,-0.424848,-9.706145
0.46,1.862795,-0.359487,-9.673463
0.48,1.895476,-0.392167,-9.706145
0.5,1.895476,-0.424848,-9.706145
0.52,1.895476,-0.457529,-9.706145
0.54,1.895476,-0.392167,-9.706145
0.56,1.928157,-0.359487,-9.738825
0.58,1.895476,-0.359487,-9.706145
0.6,1.928157,-0.392167,-9.673463
0.62,1.928157,-0.359487,-9.738825
0.64,1.862795,-0.424848,-9.706145
0.66,1.862795,-0.424848,-9.706145
0.68,1.928157,-0.424848,-9.706145
0.7,1.895476,-0.457529,-9.706144
0.72,1.862795,-0.424848,-9.706144
0.74,1.895476,-0.359487,-9.706144
0.76,1.928157,-0.326806,-9.673464
0.78,1.895476,-0.392167,-9.706144
0.8,1.895476,-0.424848,-9.706144
0.82,1.862795,-0.424848,-9.673464
0.84,1.895476,-0.392167,-9.673464
0.86,1.928157,-0.392167,-9.706144
0.88,1.895476,-0.424848,-9.706144
0.9,1.895476,-0.457529,-9.706144
0.92,1.928157,-0.359487,-9.706144
0.94,1.928157,-0.326806,-9.673464
0.96,1.895476,-0.392167,-9.673464
0.98,1.895476,-0.457529,-9.673464
1,1.895476,-0.457529,-9.673464
1.02,1.895476,-0.392167,-9.673464
1.04,1.928157,-0.326806,-9.673464
1.06,1.928157,-0.392167,-9.673464
1.08,1.895476,-0.424848,-9.673464
1.1,1.895476,-0.392167,-9.673464
1.12,1.895476,-0.359487,-9.640783
1.14,1.960837,-0.359487,-9.673464
1.16,1.928157,-0.392167,-9.640783
1.18,1.895476,-0.457529,-9.673464
1.2,1.862795,-0.424848,-9.673464
1.22,1.928157,-0.326806,-9.673464
1.24,1.895476,-0.359487,-9.640783
1.26,1.928157,-0.392167,-9.673464
1.28,1.862795,-0.392167,-9.673464
1.3,1.928157,-0.424848,-9.673464
1.32,1.960837,-0.359487,-9.673464
1.34,1.895476,-0.392167,-9.640783
1.36,1.862795,-0.392167,-9.673464
1.38,1.895476,-0.424848,-9.673464
1.4,1.895476,-0.424848,-9.706144
1.42,1.895476,-0.359487,-9.640783
1.44,1.928157,-0.359487,-9.706144
1.46,1.928157,-0.424848,-9.706144
1.48,1.895476,-0.424848,-9.673464
1.5,1.895476,-0.359487,-9.706144
1.52,1.928157,-0.392167,-9.706144
1.54,1.895476,-0.392167,-9.673464
1.56,1.895476,-0.392167,-9.706144
1.58,1.895476,-0.392167,-9.673464
1.6,1.862795,-0.392167,-9.673464
1.62,1.895476,-0.424848,-9.738825
1.64,1.895476,-0.424848,-9.673464
1.66,1.928157,-0.424848,-9.738825
1.68,1.895476,-0.424848,-9.738825
1.7,1.862795,-0.424848,-9.706144
1.72,1.895476,-0.392167,-9.706144
1.74,1.928157,-0.359487,-9.706144
1.76,1.895476,-0.392167,-9.673464
