time,gyro_x,gyro_y,gyro_z
0,-0.019199,-0.002618,-0.005236
0.02,-0.01309,-0.003491,-0.003491
0.04,-0.013963,0,-0.007854
0.06,-0.013963,-0.001745,0.000873
0.08,-0.013963,0.000873,0.001745
0.1,-0.019199,0.002618,0.004363
0.12,-0.028798,0.002618,0.000873
0.14,-0.035779,0.002618,0.001745
0.16,-0.036652,0,-0.004363
0.18,-0.027053,-0.004363,-0.001745
0.2,-0.023562,-0.006109,-0.000873
0.22,-0.012217,-0.001745,-0.001745
0.24,-0.006981,0.002618,-0.002618
0.26,-0.018326,-0.001745,-0.000873
0.28,-0.022689,-0.003491,0.005236
0.3,-0.02618,0,-0.006981
0.32,-0.02618,0,-0.005236
0.34,-0.020071,-0.001745,-0.001745
0.36,-0.01309,0.000873,0.002618
0.38,-0.013963,0.000873,-0.009599
0.4,-0.014835,-0.002618,-0.013963
0.42,-0.007854,-0.004363,-0.008727
0.44,-0.001745,-0.003491,0.002618
0.46,-0.011345,-0.003491,0.000873
0.48,-0.014835,-0.007854,-0.010472
0.5,-0.016581,-0.000873,-0.006109
0.52,-0.014835,0.003491,0.004363
0.54,-0.027925,0,0.006109
0.56,-0.029671,-0.003491,0.005236
0.58,-0.041015,-0.004363,-0.000873
0.6,-0.040143,0,-0.000873
0.62,-0.032289,0.001745,0.000873
0.64,-0.016581,0.000873,-0.006109
0.66,-0.006981,-0.002618,-0.002618
0.68,-0.010472,-0.006109,-0.001745
0.7,-0.019199,0,0.000873
0.72,-0.029671,0.001745,0.004363
0.74,-0.030543,0,0.002618
0.76,-0.019199,-0.002618,-0.001745
0.78,-0.008727,-0.000873,-0.005236
0.8,-0.007854,0.003491,0.005236
0.82,-0.010472,0.004363,0
0.84,-0.016581,0.003491,0.000873
0.86,-0.033161,0.001745,-0.000873
0.88,-0.027053,0.002618,-0.003491
0.9,-0.023562,-0.006109,0.006109
0.92,-0.015708,0.001745,0.009599
0.94,-0.018326,0.000873,0.000873
0.96,-0.020071,-0.000873,-0.007854
0.98,-0.020071,-0.001745,0.001745
1,-0.023562,-0.001745,0.006109
1.02,-0.015708,-0.001745,0.011345
